id,shares
29733,20000
29734,20000
29735,20000
29736,20000
29737,20000
29738,20000
29739,20000
29740,20000
29741,20000
29742,20000
29743,20000
29744,20000
29745,20000
29746,20000
29747,20000
29748,20000
29749,20000
29750,20000
29751,20000
29752,20000
29753,20000
29754,20000
29755,20000
29756,20000
29757,20000
29758,20000
29759,20000
29760,20000
29761,20000
29762,20000
29763,20000
29764,20000
29765,20000
29766,20000
29767,20000
29768,20000
29769,20000
29770,20000
29771,20000
29772,20000
29773,20000
29774,20000
29775,20000
29776,20000
29777,20000
29778,20000
29779,20000
29780,20000
29781,20000
29782,20000
29783,20000
29784,20000
29785,20000
29786,20000
29787,20000
29788,20000
29789,20000
29790,20000
29791,20000
29792,20000
29793,20000
29794,20000
29795,20000
29796,20000
29797,20000
29798,20000
29799,20000
29800,20000
29801,20000
29802,20000
29803,20000
29804,20000
29805,20000
29806,20000
29807,20000
29808,20000
29809,20000
29810,20000
29811,20000
29812,20000
29813,20000
29814,20000
29815,20000
29816,20000
29817,20000
29818,20000
29819,20000
29820,20000
29821,20000
29822,20000
29823,20000
29824,20000
29825,20000
29826,20000
29827,20000
29828,20000
29829,20000
29830,20000
29831,20000
29832,20000
29833,20000
29834,20000
29835,20000
29836,20000
29837,20000
29838,20000
29839,20000
29840,20000
29841,20000
29842,20000
29843,20000
29844,20000
29845,20000
29846,20000
29847,20000
29848,20000
29849,20000
29850,20000
29851,20000
29852,20000
29853,20000
29854,20000
29855,20000
29856,20000
29857,20000
29858,20000
29859,20000
29860,20000
29861,20000
29862,20000
29863,20000
29864,20000
29865,20000
29866,20000
29867,20000
29868,20000
29869,20000
29870,20000
29871,20000
29872,20000
29873,20000
29874,20000
29875,20000
29876,20000
29877,20000
29878,20000
29879,20000
29880,20000
29881,20000
29882,20000
29883,20000
29884,20000
29885,20000
29886,20000
29887,20000
29888,20000
29889,20000
29890,20000
29891,20000
29892,20000
29893,20000
29894,20000
29895,20000
29896,20000
29897,20000
29898,20000
29899,20000
29900,20000
29901,20000
29902,20000
29903,20000
29904,20000
29905,20000
29906,20000
29907,20000
29908,20000
29909,20000
29910,20000
29911,20000
29912,20000
29913,20000
29914,20000
29915,20000
29916,20000
29917,20000
29918,20000
29919,20000
29920,20000
29921,20000
29922,20000
29923,20000
29924,20000
29925,20000
29926,20000
29927,20000
29928,20000
29929,20000
29930,20000
